index,value
1192,561303
1193,561311
1194,562033
1195,562035
1196,562041
1197,562049
1198,562070
1199,562269
1200,562271
1201,562287
1202,562297
1203,573102
1204,573104
1205,573110
1206,573118
1207,573169
1208,574167
1209,575992
1210,575994
1211,576000
1212,576160
1213,576164
1214,576172
1215,576190
1216,576194
1217,585248
1218,585250
1219,587042
1220,587049
1221,587065
1222,587084
1223,590086
1224,590088
1225,590094
1226,590102
1227,590114
1228,590129
1229,590151
1230,590166
1231,600387
1232,600389
1233,600395
1234,600403
1235,600415
1236,600430
1237,601186
1238,601188
1239,601196
1240,601208
1241,601216
1242,609715
1243,609719
1244,610201
1245,610203
1246,610252
1247,610260
1248,615073
1249,615075
1250,615081
1251,615089
1252,615101
1253,615116
1254,615138
1255,621214
1256,621220
1257,621222
1258,621234
1259,621242
1260,621257
1261,628695
1262,628697
1263,628703
1264,628711
1265,628746
1266,628754
1267,634433
1268,634435
1269,634641
1270,634643
1271,634649
1272,634663
1273,634671
1274,635237
1275,635402
1276,635404
1277,635416
1278,645676
1279,645678
1280,645690
1281,645698
1282,645713
1283,645733
1284,650065
1285,650067
1286,650073
1287,650081
1288,650093
1289,650108
1290,657314
1291,657316
1292,657602
1293,657604
1294,659612
1295,659614
1296,659620
1297,659628
1298,665482
1299,665484
1300,665496
1301,665503
1302,665517
1303,665519
1304,665554
1305,671471
1306,671473
1307,671487
1308,673764
1309,673766
1310,673772
1311,673787
1312,679437
1313,679439
1314,679449
1315,679465
1316,680231
1317,680233
1318,684618
1319,684620
1320,684630
1321,684641
1322,688484
1323,688486
1324,688520
1325,688643
1326,688647
1327,688651
1328,688677
1329,688687
1330,688721
1331,701355
1332,701357
1333,701367
1334,701541
1335,701545
1336,701552
1337,701564
1338,701582
1339,701604
1340,708850
1341,708856
1342,708858
1343,712175
1344,712177
1345,712936
1346,712938
1347,712972
1348,712994
1349,716794
1350,716800
1351,718805
1352,718807
1353,718817
1354,718825
1355,718833
1356,718865
1357,718875
1358,718877
1359,730129
1360,730131
1361,730137
1362,730145
1363,730157
1364,732513
1365,732519
1366,732521
1367,732533
1368,732541
1369,732556
1370,732675
1371,732677
1372,732693
1373,732714
1374,746710
1375,746899
1376,746901
1377,749661
1378,749667
1379,749669
1380,749681
1381,749697
1382,749711
1383,755126
1384,755128
1385,755134
1386,755142
1387,757947
1388,757949
1389,757955
1390,757983
1391,757998
1392,765721
1393,765930
1394,765932
1395,765938
1396,765952
1397,766672
1398,766676
1399,766680
1400,766698
1401,766744
1402,766746
1403,777724
1404,777726
1405,777732
1406,777740
1407,777752
1408,777767
1409,777789
1410,783180
1411,783182
1412,783188
1413,783196
1414,788869
1415,788871
1416,788877
1417,791372
1418,791376
1419,791380
1420,791388
1421,791406
1422,791416
1423,799446
1424,799635
1425,799637
1426,799643
1427,799655
1428,799663
1429,799917
1430,799919
1431,808183
1432,808185
1433,810512
1434,810528
1435,810680
1436,810682
1437,810700
1438,810702
1439,810723
1440,818893
1441,818895
1442,818901
1443,818909
